,X Avg,Y Avf
T_174592,127.0271247,37.49208777
T_179632,127.0271379,37.50779453
T_174668,127.0271508,37.49586631
T_181636,127.0271522,37.50538141
T_179501,127.027158,37.50691284
T_173229,127.0271929,37.48248789
T_181729,127.0271956,37.50522916
T_167934,127.0272062,37.48671538
T_181384,127.0272147,37.51294934
T_174671,127.0272324,37.48683267
T_175063,127.0272476,37.49899477
T_181387,127.0272593,37.51282781
T_179500,127.0272761,37.5069381
T_174531,127.0273027,37.49751169
T_173203,127.0273037,37.49019415
T_172543,127.0273916,37.48832393
T_173210,127.0273954,37.49024616
T_172546,127.0274306,37.48819559
T_179502,127.0275142,37.50594212
T_179646,127.0275244,37.51072715
T_179794,127.0275349,37.49975738
T_179499,127.0276276,37.50598374
T_182279,127.0276472,37.51068284
T_173212,127.027696,37.48378878
T_173185,127.0277423,37.48360764
T_173204,127.0278388,37.48903642
T_182208,127.0278419,37.49836241
T_173209,127.027935,37.4890861
T_167713,127.0279542,37.49622556
T_175079,127.0279812,37.49680251
T_174669,127.0279875,37.49611031
T_179644,127.0281063,37.51259499
T_182209,127.0281202,37.4977465
T_173230,127.0281312,37.48338676
T_179645,127.0281873,37.51162654
T_174590,127.0282221,37.49251935
T_182281,127.0282236,37.51262965
T_181388,127.0282285,37.51326172
T_175078,127.0282354,37.49690736
T_174593,127.0282518,37.49242981
T_181389,127.028259,37.51313687
T_182280,127.0283239,37.51162188
T_172539,127.0283912,37.48787586
T_175074,127.0284418,37.49583133
T_181229,127.0284535,37.51377548
T_179795,127.028482,37.49940481
T_172542,127.02849,37.4879146
T_181733,127.028528,37.50578654
T_181734,127.0285808,37.50563865
T_167233,127.028598,37.48628929
T_181230,127.0286005,37.51376129
T_174670,127.0286279,37.48640571
T_175077,127.0286955,37.49594
T_172535,127.028699,37.48872668
T_172536,127.0287428,37.48859745
T_175075,127.0288221,37.4950293
T_182214,127.0289073,37.49844293
T_173924,127.0289452,37.48394553
T_172540,127.0289635,37.48670534
T_179416,127.0289686,37.5129229
T_182211,127.0289777,37.49824352
T_179207,127.0290598,37.51299189
T_172541,127.029061,37.48673286
T_175076,127.0290856,37.4951197
T_179204,127.0290912,37.5135278
T_179414,127.0291234,37.5134028
T_174709,127.0292179,37.49420526
